COMPANYID,COMPANYNAME,FYEAR,FQUARTER,EPS,fwd_return_30d,revenue_growth,operating_margin,pe_ratio,global_neg_frac,global_pos_frac,global_linear_score,LM_neg_frac,avg_confidence,strong_sentiment_frac,guidance_count,avg_specificity,near_future_frac,far_future_frac,transcript_text,REVENUE_pos,REVENUE_neg,REVENUE_neu,REVENUE_neg_frac,INDUSTRY_MOATS_DRIVERS_pos,INDUSTRY_MOATS_DRIVERS_neg,INDUSTRY_MOATS_DRIVERS_neu,INDUSTRY_MOATS_DRIVERS_neg_frac,EARNING_AND_COSTS_pos,EARNING_AND_COSTS_neg,EARNING_AND_COSTS_neu,EARNING_AND_COSTS_neg_frac,CAP_ALLOCATION_CASH_pos,CAP_ALLOCATION_CASH_neg,CAP_ALLOCATION_CASH_neu,CAP_ALLOCATION_CASH_neg_frac,EXOGENOUS_pos,EXOGENOUS_neg,EXOGENOUS_neu,EXOGENOUS_neg_frac,MANAGEMENT_CULTURE_SUSTAINABILITY_pos,MANAGEMENT_CULTURE_SUSTAINABILITY_neg,MANAGEMENT_CULTURE_SUSTAINABILITY_neu,MANAGEMENT_CULTURE_SUSTAINABILITY_neg_frac,OTHER_CRITERIA_pos,OTHER_CRITERIA_neg,OTHER_CRITERIA_neu,OTHER_CRITERIA_neg_frac,eps_surprise_pct
1,Company_001,2019,1,7.612,0.005888,0.1,0.1353,38.15,0.1832,0.4478,0.2646,0.2249,3.41,0.2542,1,1.74,0.5737,0.16,Company_001 Q1 2019: Revenue grew 10.0% with margins at 13.5%. Management expects continued improvement ahead.,4,1,4,0.2111,4,1,4,0.135,6,1,6,0.1363,2,0,5,0.1261,6,0,7,0.0,4,2,7,0.2054,1,1,2,0.4392,0.1484104046242774
1,Company_001,2019,2,8.7417,0.014422,0.0548,0.1806,8.18,0.1913,0.5234,0.332,0.2048,4.04,0.3827,2,3.48,0.5424,0.2816,Company_001 Q2 2019: Revenue grew 5.5% with margins at 18.1%. Management expects continued improvement ahead.,5,0,6,0.0693,1,0,2,0.0,4,1,4,0.198,5,2,2,0.2795,3,2,1,0.4569,7,3,3,0.2573,5,2,7,0.1999,0.11606438107004355
1,Company_001,2019,3,9.7563,-0.039172,0.0302,0.1105,10.46,0.3248,0.5747,0.2499,0.2713,2.72,0.1645,1,3.06,0.4183,0.0764,Company_001 Q3 2019: Revenue grew 3.0% with margins at 11.1%. Management expects continued improvement ahead.,4,2,3,0.3002,5,2,0,0.4198,4,1,1,0.3176,5,1,2,0.2314,1,1,2,0.3097,2,1,2,0.3335,3,3,0,0.5042,0.061273228580507086
1,Company_001,2019,4,10.3541,0.014118,0.0497,0.1089,30.28,0.3157,0.5444,0.2287,0.4561,3.78,0.1592,7,1.59,0.5438,0.1757,Company_001 Q4 2019: Revenue grew 5.0% with margins at 10.9%. Management expects continued improvement ahead.,4,2,4,0.2947,4,2,4,0.2797,2,1,4,0.2829,1,1,4,0.2138,3,3,3,0.3502,4,3,2,0.4072,0,0,2,0.3561,0.0501250712278228
1,Company_001,2020,1,10.8731,-0.012435,0.067,0.1428,24.57,0.3448,0.2247,-0.1201,0.2728,4.09,0.3703,0,0.0,0.3454,0.2812,Company_001 Q1 2020: Revenue grew 6.7% with margins at 14.3%. Management expects continued challenges ahead.,3,5,4,0.4591,0,2,4,0.4176,4,5,3,0.4853,2,3,5,0.396,2,3,9,0.2457,1,1,3,0.3031,0,1,3,0.3457,0.13794593998031826
1,Company_001,2020,2,12.373,-0.018263,0.131,0.1737,28.86,0.4334,0.5566,0.1232,0.417,2.56,0.3849,0,0.0,0.4976,0.0947,Company_001 Q2 2020: Revenue grew 13.1% with margins at 17.4%. Management expects continued improvement ahead.,2,1,0,0.4861,5,5,0,0.6873,1,1,2,0.4487,1,0,1,0.3014,4,4,1,0.5399,2,1,1,0.4566,6,5,0,0.5437,0.07536571567121968
1,Company_001,2020,3,13.3055,-0.017401,0.0808,0.1803,31.93,0.206,0.5657,0.3597,0.2049,4.38,0.2323,5,3.92,0.6854,0.2633,Company_001 Q3 2020: Revenue grew 8.1% with margins at 18.0%. Management expects continued improvement ahead.,6,1,0,0.2694,3,0,4,0.1171,5,1,3,0.2049,1,0,1,0.327,5,1,0,0.1796,2,1,2,0.2055,1,0,1,0.2102,0.012528653564315546
1,Company_001,2020,4,13.4722,0.065121,0.0905,0.3426,33.55,0.1228,0.333,0.2102,0.0,3.62,0.3808,7,1.63,0.6546,0.0569,Company_001 Q4 2020: Revenue grew 9.1% with margins at 34.3%. Management expects continued improvement ahead.,2,1,4,0.2084,3,0,6,0.0,3,2,3,0.2991,1,0,2,0.0148,4,0,6,0.0085,3,1,10,0.0778,0,0,3,0.261,0.12104927183385036
1,Company_001,2021,1,15.103,0.014436,0.0716,0.1752,21.09,0.17,0.5802,0.4102,0.0907,2.43,0.1626,1,2.1,0.3375,0.0957,Company_001 Q1 2021: Revenue grew 7.2% with margins at 17.5%. Management expects continued improvement ahead.,1,0,1,0.185,1,0,1,0.0807,8,1,4,0.1159,8,1,5,0.0969,1,0,3,0.1325,9,4,1,0.3063,2,0,2,0.1593,0.10656161027610403
1,Company_001,2021,2,16.7124,0.021612,0.0768,0.2674,35.41,0.3775,0.6225,0.2451,0.4299,3.65,0.1652,7,3.86,0.6777,0.2668,Company_001 Q2 2021: Revenue grew 7.7% with margins at 26.7%. Management expects continued improvement ahead.,3,1,0,0.4002,3,1,2,0.3312,7,3,3,0.2495,8,3,2,0.2959,3,2,1,0.4549,4,2,0,0.4871,6,2,3,0.2345,0.06915822981738128
